serial_number,order_id,order_date,delivery_date,time_of_order,time_of_delivery,delivery_mode,sales_agent,payment_mode,delivery_rating,product_id,customer_id,sales,quantity,percent_discount,profit
5689,C-53457-11917,13-01-2019,18-01-2019,5:05 PM,3:30 PM,Standard Class,John Wick,Cash,3,SOW-0529,MOT-5228,15.168,2,20,3.792
3804,C-14331-11917,14-01-2019,15-01-2019,5:27 PM,12:43 PM,First Class,Tom Renner,Cash,3,URG-0772,ANN-3885,37.93,1,0,6.8274
563,B-33123-11910,15-01-2019,18-01-2019,10:27 AM,1:31 PM,Second Class,Robert Hemsworth,Bank Transfer,3,PMB-0667,AFT-5291,7.218,3,70,-5.5338
564,C-84989-11915,16-01-2019,18-01-2019,3:27 PM,10:13 AM,Second Class,Chris Jr,Cash,2,LWB-0977,DFP-9505,43.92,5,20,15.921
565,C-80844-11910,17-01-2019,18-01-2019,10:28 AM,9:51 AM,Second Class,Nora Zypern,Credit card,1,TWP-0864,MCF-1316,127.372,2,30,-30.9332
3174,D-40403-11916,18-01-2019,21-01-2019,4:47 PM,12:57 PM,Second Class,Nora Zypern,Debit Card,5,SWW-0361,TWS-7020,24.448,2,20,8.8624
3226,D-21405-11914,19-01-2019,20-01-2019,2:25 PM,11:02 AM,First Class,Tom Renner,Debit Card,2,AMB-0406,SMD-2382,2.655,1,70,-1.8585
3227,C-75644-11914,19-01-2019,20-01-2019,2:00 PM,2:19 PM,First Class,Nora Zypern,Credit card,5,HWB-0952,JCL-5190,9.84,3,0,3.2472
3228,C-86834-11911,19-01-2019,20-01-2019,11:15 AM,1:23 PM,First Class,John Wick,Credit card,2,AMW-0533,BON-8789,15.8,4,0,5.056
660,C-73423-1199,20-01-2019,26-01-2019,9:22 AM,12:38 PM,Standard Class,Nora Zypern,Credit card,4,AWB-0592,ENN-4855,23.832,3,20,6.5538
661,C-93328-1199,20-01-2019,26-01-2019,9:14 AM,11:33 AM,Standard Class,Nora Zypern,Credit card,4,PMB-0176,SRW-2137,6.368,2,60,-2.5472
662,D-23180-11915,20-01-2019,26-01-2019,3:22 PM,2:03 PM,Standard Class,Dave Brockman,Debit Card,1,ZWW-0625,COH-3082,41.36,5,20,13.959
663,C-52424-1199,20-01-2019,26-01-2019,9:45 AM,3:14 PM,Standard Class,John McCarthy,Cash,3,ASB-0342,SRW-2137,34.176,3,80,-87.1488
664,C-19317-11911,20-01-2019,26-01-2019,11:22 AM,5:56 PM,Standard Class,Edward Ruffalo,Credit card,5,ZKG-0713,MCS-7668,44.46,2,0,14.6718
3383,B-54433-1199,20-01-2019,25-01-2019,9:37 AM,2:23 PM,Standard Class,John Wick,Bank Transfer,5,MSY-0310,NNN-3065,88.02,3,0,27.2862
3723,C-78285-11914,20-01-2019,26-01-2019,2:21 PM,3:36 PM,Standard Class,Robert Hemsworth,Cash,5,AKB-0837,DTH-4132,2.694,2,70,-2.245
3724,C-90155-1199,20-01-2019,26-01-2019,9:53 AM,3:35 PM,Standard Class,Robert Hemsworth,Credit card,1,UMW-0305,JCO-7745,162.6,3,0,34.146
3725,D-34279-11911,20-01-2019,26-01-2019,11:27 AM,10:52 AM,Standard Class,Robert Paige,Debit Card,2,FWB-0417,DPP-4105,706.86,7,0,197.9208
3726,D-87778-11911,20-01-2019,26-01-2019,11:35 AM,9:21 AM,Standard Class,Anthony Evans,Debit Card,3,LOB-0165,CTH-7225,5.97,5,70,-4.577
3727,B-89811-11916,20-01-2019,26-01-2019,4:59 PM,5:32 PM,Standard Class,Tom Renner,Bank Transfer,5,TMP-0390,NNN-3065,40.48,2,0,15.7872
3728,D-50054-1199,20-01-2019,26-01-2019,9:14 AM,5:12 PM,Standard Class,Robert Paige,Debit Card,3,SKY-0279,JNC-4599,141.42,5,60,-187.3815
4195,C-97720-11911,21-01-2019,26-01-2019,11:11 AM,4:45 PM,Standard Class,Robert Paige,Cash,4,CKB-0841,BON-8789,181.96,2,0,20.0156
5906,C-74866-11911,22-01-2019,23-01-2019,11:33 AM,2:15 PM,Second Class,Tom Renner,Cash,3,ZMB-0658,BON-8789,12.39,3,0,5.6994
5847,C-80098-11917,23-01-2019,27-01-2019,5:38 PM,5:23 PM,Standard Class,John Wick,Credit card,5,ZMR-0580,DKR-9368,24.78,6,0,6.9384
1520,C-85932-11910,24-01-2019,31-01-2019,10:58 AM,10:56 AM,Standard Class,John Wick,Credit card,3,ZMB-0697,MCF-1316,47.952,3,20,16.1838
1521,D-12299-1199,25-01-2019,31-01-2019,9:25 AM,10:39 AM,Standard Class,Nora Zypern,Debit Card,2,AWB-0474,NIC-1732,16.02,6,0,6.0876
1522,B-36874-11914,26-01-2019,31-01-2019,2:25 PM,1:59 PM,Standard Class,Robert Hemsworth,Bank Transfer,1,ZWW-0651,AFT-5291,43.188,4,70,-31.6712
4825,B-94959-11914,30-01-2019,29-01-2019,2:20 PM,2:01 PM,First Class,Robert Hemsworth,Bank Transfer,2,QWW-0542,NTD-1237,15.712,4,20,5.6956
4826,D-17524-11913,26-01-2019,29-01-2019,1:15 PM,11:25 AM,First Class,Tom Renner,Debit Card,3,RMB-0365,BNC-5358,17.94,3,0,4.485
2228,B-14928-1199,27-01-2019,02-02-2019,9:47 AM,5:20 PM,Standard Class,John Wick,Bank Transfer,5,4RB-0489,NNN-3065,107.424,9,20,33.57
2229,C-63964-1199,28-01-2019,02-02-2019,9:58 AM,10:54 AM,Standard Class,Edward Ruffalo,Cash,5,AWB-0480,RNM-1883,510.24,3,20,6.378
1829,C-87376-11915,29-01-2019,03-02-2019,3:03 PM,10:49 AM,Standard Class,Edward Ruffalo,Cash,1,TKP-0351,FCL-2003,15.488,4,20,3.6784
1989,C-46668-11915,31-01-2019,02-02-2019,3:27 PM,5:01 PM,First Class,Nora Zypern,Cash,2,MWR-0847,QMS-4194,232.96,7,0,116.48
1009,C-38229-21914,01-02-2019,06-02-2019,2:35 PM,11:10 AM,Standard Class,Tom Renner,Cash,2,AMG-0965,SNN-6341,31.56,4,0,14.202
5388,C-25219-2199,02-02-2019,09-02-2019,9:36 AM,3:56 PM,Standard Class,Chris Jr,Credit card,4,FMB-1033,MOC-9366,45.216,3,20,4.5216
902,C-25678-2199,03-02-2019,06-02-2019,9:58 AM,12:02 PM,Second Class,Anthony Evans,Credit card,5,SKW-1021,HPP-5333,36.4,5,0,13.832
903,B-25228-21916,03-02-2019,06-02-2019,4:21 PM,9:22 AM,Second Class,Robert Hemsworth,Bank Transfer,5,UMW-0305,NNN-6000,108.4,2,0,22.764
919,D-44135-21915,04-02-2019,08-02-2019,3:30 PM,2:49 PM,Standard Class,Nora Zypern,Debit Card,2,AWP-0781,SCL-4567,5.193,3,70,-3.462
920,C-58578-21911,04-02-2019,08-02-2019,11:10 AM,4:15 PM,Standard Class,John McCarthy,Cash,5,SWW-0202,RAM-8393,1.928,2,80,-2.9884
5074,D-22392-21917,05-02-2019,08-02-2019,5:11 PM,4:50 PM,Second Class,John Wick,Debit Card,2,NMB-0088,BCD-2952,389.97,3,0,35.0973
1177,C-77931-21910,06-02-2019,09-02-2019,10:12 AM,9:01 AM,First Class,John McCarthy,Credit card,2,AMB-0874,TOO-4461,325.86,2,0,149.8956
5300,C-26015-21913,07-02-2019,10-02-2019,1:58 PM,4:00 PM,Second Class,Tom Renner,Credit card,3,CWW-0633,NCR-5539,5.76,2,0,2.8224
5466,C-22874-21915,08-02-2019,09-02-2019,3:58 PM,5:08 PM,First Class,Robert Paige,Cash,5,EWB-0443,NKL-5600,8.559,1,70,-6.5619
3324,C-13843-21917,09-02-2019,15-02-2019,5:25 PM,12:12 PM,Standard Class,Tom Renner,Credit card,5,AMB-0433,CTP-3537,49.568,2,20,17.9684
3325,B-22741-2199,10-02-2019,15-02-2019,9:01 AM,10:59 AM,Standard Class,John McCarthy,Bank Transfer,2,SWW-0272,NNN-6000,9.088,4,20,3.2944
5456,D-71788-21915,11-02-2019,15-02-2019,3:35 PM,2:39 PM,Second Class,John McCarthy,Debit Card,2,NMN-0082,MGC-5387,241.424,2,20,-36.2136
5457,B-33028-21910,11-02-2019,15-02-2019,10:41 AM,3:52 PM,Second Class,Edward Ruffalo,Bank Transfer,1,FWP-0557,DPP-8209,282.888,9,20,56.5776
5458,C-36435-2199,28-02-2019,15-02-2019,9:24 AM,10:24 AM,Second Class,Chris Jr,Cash,1,AMB-0851,MOC-9366,28.782,6,70,-21.1068
5459,C-58956-21913,26-02-2019,15-02-2019,1:50 PM,2:24 PM,Second Class,John McCarthy,Cash,3,SOY-0282,GCH-9472,351.216,3,20,4.3902
5460,C-63242-21913,11-02-2019,15-02-2019,1:42 PM,2:28 PM,Second Class,Chris Jr,Credit card,1,TKB-0244,JWS-2264,230.28,3,20,23.028
264,C-16664-21914,12-02-2019,18-02-2019,2:05 PM,10:09 AM,Standard Class,Tom Renner,Credit card,5,AWW-0671,ECS-8225,56.82,3,0,28.41
3229,B-21636-21917,13-02-2019,19-02-2019,5:11 PM,9:38 AM,Second Class,John Wick,Bank Transfer,2,MOW-0157,NNN-6000,82.344,3,20,27.7911
5770,C-55523-21912,14-02-2019,18-02-2019,12:31 PM,3:18 PM,Standard Class,John Wick,Cash,5,PWW-0662,RAM-8393,6.912,3,20,0.6912
4390,D-57980-2199,15-02-2019,19-02-2019,9:46 AM,10:03 AM,Standard Class,John McCarthy,Debit Card,2,LWP-0421,HPP-4461,18.312,4,70,-12.208
789,C-64872-21910,16-02-2019,21-02-2019,10:33 AM,4:08 PM,Standard Class,Robert Hemsworth,Cash,2,PMB-0574,MCM-7611,5.936,7,80,-8.904
790,C-73171-21913,19-02-2019,21-02-2019,1:31 PM,5:10 PM,Standard Class,Robert Hemsworth,Cash,4,LMG-0642,RAM-8393,7.76,1,60,-2.134
5623,D-72214-21917,17-02-2019,24-02-2019,5:50 PM,10:24 AM,Standard Class,John Wick,Debit Card,1,CWW-0522,KUL-6410,9.82,2,0,4.8118
3582,C-62329-21917,18-02-2019,18-02-2019,5:37 PM,1:17 PM,Same Day,Nora Zypern,Credit card,4,NMB-0067,EUO-6447,127.869,3,30,-9.1335
2670,C-25480-2199,20-02-2019,26-02-2019,9:12 AM,4:03 PM,Standard Class,Nora Zypern,Cash,3,SOW-0330,SNN-7939,419.136,4,20,-57.6312
1699,B-62997-21915,21-02-2019,25-02-2019,3:51 PM,4:25 PM,Standard Class,Chris Jr,Bank Transfer,3,ETB-0235,NNN-6000,11.16,2,0,4.3524
3833,D-98372-21913,22-02-2019,27-02-2019,1:44 PM,3:57 PM,Standard Class,Dave Brockman,Debit Card,4,SWG-1031,SCL-4567,51.264,6,20,7.6896
3834,D-45210-21916,23-02-2019,27-02-2019,4:13 PM,12:29 PM,Standard Class,Edward Ruffalo,Debit Card,1,SMW-0316,BCD-2952,33.36,4,0,16.68
3256,D-48933-21913,24-02-2019,02-03-2019,1:40 PM,2:48 PM,Standard Class,Nora Zypern,Debit Card,5,SMB-0578,MNN-9132,54.992,14,20,8.9362
3257,C-30374-21910,25-02-2019,02-03-2019,10:17 AM,1:40 PM,Standard Class,Chris Jr,Credit card,5,TKB-0493,RAM-8393,383.607,9,30,-5.4801
5587,C-42579-21917,27-02-2019,03-03-2019,5:25 PM,11:09 AM,First Class,Anthony Evans,Credit card,3,AMB-0520,HPP-5333,271.44,3,0,122.148
99,C-56797-3199,01-03-2019,06-03-2019,9:22 AM,9:52 AM,Second Class,Tom Renner,Credit card,5,HKP-0606,DCS-7123,25.99,1,0,7.5371
3843,C-14153-31912,01-03-2019,05-03-2019,12:30 PM,10:51 AM,Standard Class,Nora Zypern,Credit card,2,RWB-0602,NIA-9339,268.935,3,50,-209.7693
4700,C-49114-31913,01-03-2019,05-03-2019,1:32 PM,12:19 PM,Standard Class,Tom Renner,Credit card,1,FWW-0302,RMS-7881,19.92,3,0,9.5616
4701,B-38190-31914,01-03-2019,05-03-2019,2:53 PM,2:23 PM,Standard Class,Robert Hemsworth,Bank Transfer,5,NMB-0011,HTH-8638,38.6,4,0,11.58
4702,C-25284-31910,01-03-2019,05-03-2019,10:55 AM,1:46 PM,Standard Class,Robert Hemsworth,Cash,4,HMW-0630,DKR-9368,8.712,2,80,-19.602
4917,C-92455-31914,01-03-2019,07-03-2019,2:32 PM,5:16 PM,Standard Class,Robert Paige,Cash,1,LKP-0243,GTH-1883,61.06,2,0,28.0876
3573,C-97030-31913,02-03-2019,08-03-2019,1:46 PM,10:53 AM,Standard Class,Nora Zypern,Credit card,5,NMB-0035,MCL-3469,275.952,3,20,-37.9434
5881,C-37436-31910,02-03-2019,06-03-2019,10:28 AM,2:27 PM,Standard Class,John Wick,Credit card,3,LWG-0787,AAT-8252,14.62,2,0,6.8714
322,C-79993-3199,03-03-2019,07-03-2019,9:04 AM,1:28 PM,Second Class,Edward Ruffalo,Credit card,5,UOW-0151,CIC-2412,11.952,3,20,4.1832
690,C-19407-3199,03-03-2019,08-03-2019,9:21 AM,1:33 PM,Standard Class,Edward Ruffalo,Credit card,2,SWB-0322,CGA-9187,6.464,1,60,-4.04
691,C-80741-31912,03-03-2019,08-03-2019,12:24 PM,5:07 PM,Standard Class,Nora Zypern,Cash,5,TMW-0268,CCL-9717,521.96,2,0,88.7332
4274,D-52462-31916,03-03-2019,08-03-2019,4:05 PM,5:26 PM,Standard Class,John McCarthy,Debit Card,2,TMG-0277,LCM-4863,30.56,5,60,-19.864
4275,B-24716-31910,03-03-2019,08-03-2019,10:54 AM,11:35 AM,Standard Class,Dave Brockman,Bank Transfer,1,CMP-0503,ECL-2050,1.192,2,80,-2.0264
4337,C-64672-31917,03-03-2019,07-03-2019,5:35 PM,2:28 PM,Standard Class,John Wick,Cash,2,GMB-0819,TGC-8893,43.372,7,80,-69.3952
5148,B-42244-31911,03-03-2019,07-03-2019,11:55 AM,9:36 AM,Standard Class,Robert Paige,Bank Transfer,5,KWW-0600,DCS-5806,6.3,2,0,3.024
2611,C-13557-31916,04-03-2019,09-03-2019,4:40 PM,3:30 PM,Standard Class,Robert Paige,Credit card,4,PMB-0205,ECS-7019,209.568,2,20,-23.5764
5024,D-89273-31914,05-03-2019,08-03-2019,2:17 PM,2:57 PM,Second Class,John Wick,Debit Card,5,SMB-0209,BCL-4008,13.96,2,0,6.7008
5025,D-99761-31912,05-03-2019,08-03-2019,12:14 PM,1:09 PM,Second Class,John Wick,Debit Card,5,RMG-0859,BCL-4008,56.96,2,0,21.0752
2948,C-81667-31912,06-03-2019,08-03-2019,12:42 PM,11:42 AM,First Class,Robert Paige,Credit card,5,SMW-0777,EPP-4058,8.22,3,0,2.2194
2949,B-75257-3199,07-03-2019,08-03-2019,9:41 AM,12:42 PM,First Class,Robert Paige,Bank Transfer,2,ZOW-0560,FIL-9065,20.58,7,0,5.5566
3109,B-30323-31910,07-03-2019,11-03-2019,10:25 AM,1:56 PM,Second Class,John Wick,Bank Transfer,2,RKG-0608,ECL-2050,40.968,3,20,13.8267
5696,B-19306-31913,07-03-2019,12-03-2019,1:40 PM,2:06 PM,Standard Class,Dave Brockman,Bank Transfer,4,STB-0217,CGR-2213,4.36,2,0,2.0492
5697,C-72390-31917,08-03-2019,12-03-2019,5:06 PM,1:44 PM,Standard Class,Anthony Evans,Cash,4,AWG-0949,PCS-3606,27.76,4,0,9.9936
5698,B-84950-31913,09-03-2019,12-03-2019,1:54 PM,9:27 AM,Standard Class,Robert Paige,Bank Transfer,4,TTB-0121,CGR-2213,15.28,2,0,7.4872
1239,D-40528-3199,10-03-2019,17-03-2019,9:37 AM,11:18 AM,Standard Class,John McCarthy,Debit Card,2,ZMB-0308,AFS-3077,6.096,2,20,2.0574
917,C-77384-3199,11-03-2019,16-03-2019,9:59 AM,5:02 PM,Second Class,Nora Zypern,Credit card,2,AWW-0109,ECS-2573,23.36,4,0,6.0736
918,C-79287-3199,11-03-2019,16-03-2019,9:13 AM,4:13 PM,Second Class,Chris Jr,Cash,5,SWW-0743,CNL-1564,8.67,3,0,4.0749
4134,C-89379-31912,11-03-2019,13-03-2019,12:25 PM,12:46 PM,Second Class,John McCarthy,Credit card,4,CMW-0976,CUO-1093,7.58,1,0,2.9562
4135,C-19081-31912,12-03-2019,13-03-2019,12:26 PM,1:35 PM,Second Class,Dave Brockman,Credit card,1,QWW-0542,JWS-2264,14.73,3,0,7.2177
4910,B-30054-31915,13-03-2019,15-03-2019,3:44 PM,4:30 PM,Standard Class,Robert Hemsworth,Bank Transfer,3,KMB-0635,HTH-8638,6.63,3,0,1.7901
1118,C-89356-31910,14-03-2019,18-03-2019,10:18 AM,10:47 AM,Standard Class,Chris Jr,Cash,2,NMB-0023,JCM-4112,302.94,3,0,48.4704
1672,C-59856-31910,14-03-2019,19-03-2019,10:35 AM,11:43 AM,Standard Class,Chris Jr,Cash,1,NMG-0020,JCM-4112,142.36,2,0,38.4372
2767,D-34298-31911,14-03-2019,19-03-2019,11:25 AM,4:39 PM,Standard Class,John Wick,Debit Card,1,EWG-0797,PIO-9062,67.136,4,20,25.176
2768,C-46777-3199,14-03-2019,19-03-2019,9:47 AM,11:34 AM,Standard Class,John McCarthy,Cash,4,EWG-0801,PWM-6328,100.94,7,0,33.3102
5622,D-14123-31916,14-03-2019,18-03-2019,4:03 PM,12:17 PM,Standard Class,John Wick,Debit Card,4,SMB-0740,FIL-9065,20.768,2,20,2.3364
346,D-79925-31917,15-03-2019,19-03-2019,5:49 PM,2:18 PM,Standard Class,Nora Zypern,Debit Card,4,BWP-0959,FCA-2780,121.104,6,70,-100.92
347,C-46097-31911,15-03-2019,19-03-2019,11:41 AM,5:19 PM,Standard Class,Edward Ruffalo,Cash,5,BWW-0764,WPP-4399,895.92,5,20,302.373
348,C-35981-31913,15-03-2019,19-03-2019,1:10 PM,1:42 PM,Standard Class,Dave Brockman,Cash,3,4TB-0818,LIH-9688,9.888,2,70,-6.9216
798,C-31837-31914,16-03-2019,24-03-2019,2:40 PM,9:44 AM,Standard Class,Dave Brockman,Cash,1,HMP-0504,PNC-1356,8.26,2,0,3.8822
799,B-79302-3199,17-03-2019,24-03-2019,9:04 AM,1:12 PM,Standard Class,John Wick,Bank Transfer,3,AWP-0537,BML-9091,63.9,5,0,28.755
800,C-75948-3199,17-03-2019,24-03-2019,9:55 AM,9:48 AM,Standard Class,Tom Renner,Credit card,3,AMG-0930,CGA-9187,11.52,5,20,4.176
801,C-82414-31911,17-03-2019,24-03-2019,11:49 AM,9:37 AM,Standard Class,Tom Renner,Credit card,3,AWW-0109,WPP-4399,11.68,2,0,3.0368
802,B-44363-3199,17-03-2019,24-03-2019,9:00 AM,9:22 AM,Standard Class,Chris Jr,Bank Transfer,5,PKB-0596,JIP-7990,7.56,3,20,2.646
1393,B-11005-31917,17-03-2019,21-03-2019,5:19 PM,5:38 PM,Standard Class,Chris Jr,Bank Transfer,2,NOG-0629,HTH-8638,1067.94,3,0,224.2674
1394,D-63597-3199,17-03-2019,21-03-2019,9:15 AM,11:02 AM,Standard Class,Robert Paige,Debit Card,3,AMG-0879,AFS-3077,7.24,4,0,2.3892
1395,D-21763-3199,17-03-2019,21-03-2019,9:22 AM,12:32 PM,Standard Class,Robert Paige,Debit Card,4,NWB-0131,OCL-5776,177.45,5,50,-78.078
3019,C-88819-31916,17-03-2019,17-03-2019,4:21 PM,9:03 AM,Same Day,Nora Zypern,Cash,1,ZMO-0318,SWS-4378,3.882,2,70,-2.588
4382,C-28314-3199,17-03-2019,21-03-2019,9:29 AM,12:05 PM,Standard Class,Chris Jr,Cash,3,BOP-0146,MWS-9297,63.882,1,10,10.647
4383,C-95594-31911,17-03-2019,21-03-2019,11:08 AM,12:18 PM,Standard Class,Anthony Evans,Credit card,5,XSP-0266,ECS-5997,36.288,7,20,12.7008
4384,B-68674-3199,17-03-2019,21-03-2019,9:10 AM,3:03 PM,Standard Class,John McCarthy,Bank Transfer,1,ZMB-0616,FIL-9065,17.38,2,0,8.69
1594,B-49166-31917,18-03-2019,23-03-2019,5:29 PM,5:56 PM,Standard Class,John Wick,Bank Transfer,4,COW-0098,PIO-9062,10.16,1,0,2.6416
1595,C-32904-31916,18-03-2019,23-03-2019,4:30 PM,3:20 PM,Standard Class,Anthony Evans,Credit card,2,PWP-0575,TOT-7994,35.28,3,0,11.9952
1596,B-71488-31911,18-03-2019,23-03-2019,11:15 AM,2:46 PM,Standard Class,Tom Renner,Bank Transfer,2,NKW-0712,RTH-9747,119.833,1,15,-12.6882
1597,C-74476-31915,18-03-2019,23-03-2019,3:43 PM,12:43 PM,Standard Class,John McCarthy,Credit card,3,XWW-1016,CGR-2213,9.96,2,0,4.5816
3625,C-85473-31910,18-03-2019,21-03-2019,10:38 AM,10:11 AM,Second Class,Robert Paige,Credit card,1,MWG-0747,JIA-6376,5.248,2,20,0.5904
4324,C-48440-31916,18-03-2019,24-03-2019,4:33 PM,5:23 PM,Standard Class,Robert Hemsworth,Credit card,5,EWB-0442,EUO-6447,1.908,2,70,-1.5264
3629,D-91116-31916,19-03-2019,21-03-2019,4:08 PM,10:07 AM,First Class,Edward Ruffalo,Debit Card,5,CMG-0953,BMD-4157,399.672,7,20,-14.9877
3630,B-46203-31914,19-03-2019,21-03-2019,2:11 PM,10:02 AM,First Class,Nora Zypern,Bank Transfer,2,SWP-0459,HTH-8638,22.96,7,0,6.6584
3631,D-65945-3199,19-03-2019,21-03-2019,9:47 AM,11:40 AM,First Class,Robert Paige,Debit Card,4,ZKW-1025,OCL-5776,1369.764,6,70,-913.176
3632,C-39419-31911,19-03-2019,21-03-2019,11:46 AM,11:14 AM,First Class,Robert Hemsworth,Cash,1,SWW-0272,JCL-9876,0.852,1,70,-0.5964
119,C-21550-31915,20-03-2019,25-03-2019,3:14 PM,11:06 AM,Standard Class,Dave Brockman,Credit card,1,SWP-0224,GTH-1883,35.544,1,20,-0.8886
120,C-96648-31911,21-03-2019,25-03-2019,11:06 AM,2:39 PM,Standard Class,Robert Hemsworth,Cash,4,GMB-0281,AAT-8252,173.24,4,0,17.324
4480,D-72380-31915,21-03-2019,25-03-2019,3:51 PM,3:35 PM,Standard Class,Anthony Evans,Debit Card,2,4MG-0752,HCL-7294,39.68,2,0,10.3168
4481,D-27953-31915,21-03-2019,25-03-2019,3:21 PM,12:05 PM,Standard Class,Anthony Evans,Debit Card,1,POB-0152,BTH-9581,7.38,2,0,3.4686
4482,B-22348-3199,21-03-2019,25-03-2019,9:52 AM,9:52 AM,Standard Class,Edward Ruffalo,Bank Transfer,4,SOW-1039,AFP-8127,204.6,2,0,53.196
4935,C-89993-31911,21-03-2019,25-03-2019,11:50 AM,5:41 PM,Standard Class,Robert Paige,Credit card,4,SKY-0279,ECS-5997,56.568,2,60,-74.9526
4936,C-46132-3199,21-03-2019,25-03-2019,9:43 AM,11:57 AM,Standard Class,Nora Zypern,Credit card,1,FMW-0387,SDW-9345,683.144,4,30,0
4937,C-52259-31917,21-03-2019,25-03-2019,5:11 PM,9:21 AM,Standard Class,Nora Zypern,Cash,1,PMB-0488,SNN-8014,48.896,2,20,18.336
1048,B-23733-31911,22-03-2019,26-03-2019,11:34 AM,12:16 PM,Standard Class,John McCarthy,Bank Transfer,1,CWP-0989,RTH-9747,46.672,2,20,16.3352
1049,C-74726-31913,22-03-2019,26-03-2019,1:04 PM,4:44 PM,Standard Class,Chris Jr,Credit card,2,DOW-0717,LIH-9688,671.544,3,20,50.3658
1691,D-30158-31916,22-03-2019,26-03-2019,4:29 PM,2:06 PM,Standard Class,John Wick,Debit Card,1,SMW-0576,BTH-9581,81.98,2,0,40.1702
2558,B-44385-31917,22-03-2019,22-03-2019,5:42 PM,9:55 AM,Same Day,John McCarthy,Bank Transfer,4,RWP-0876,PIO-9062,101.88,6,0,50.94
3869,D-26208-31912,23-03-2019,26-03-2019,12:15 PM,4:31 PM,First Class,Tom Renner,Debit Card,3,NWW-0133,LIS-4746,7.312,1,20,2.5592
4611,B-21816-31916,24-03-2019,29-03-2019,4:22 PM,5:06 PM,Second Class,Nora Zypern,Bank Transfer,4,TWM-0844,HTH-8638,23.34,3,0,10.9698
